cowid,parity,calving_date,enrolled,GovID,calendardate,animalid,lyingtime,standingtime,rumination,notruminating,inactivity,activity,highactivity,lie_stand,ruminate_nonruminat,active_nonactive,expday
509,1,28/04/2022,1,UK344097608226,19/05/2022,UK344097608226,8.1666666667,15.833333333,7.2,16.8,4.8,16.666666667,2.5333333333,24,24,21.466666667,21
514,2,28/05/2022,1,UK344097207382,18/06/2022,UK344097207382,12.433333333,11.566666667,9.3333333333,14.666666667,4.1,17.116666667,2.7833333333,24,24,21.216666667,21
521,2,14/05/2022,1,UK344097707415,04/06/2022,UK344097707415,10.216666667,13.783333333,8.6333333333,15.366666667,4.15,17.4,2.45,24,24,21.55,21
524,1,23/05/2022,1,UK344097508288,13/06/2022,UK344097508288,12.383333333,11.616666667,9.9166666667,14.083333333,4.9,18.216666667,0.8833333333,24,24,23.116666667,21
527,1,27/05/2022,1,UK344097608464,17/06/2022,UK344097608464,13.566666667,10.433333333,10.416666667,13.583333333,6.45,17,0.55,24,24,23.45,21
532,1,23/05/2022,1,UK344097408483,13/06/2022,UK344097408483,11.466666667,12.533333333,14.933333333,9.0666666667,4.2833333333,19.266666667,0.45,24,24,23.55,21
542,8,24/06/2022,1,UK344097403338,15/07/2022,UK344097403338,15.35,8.65,8.8166666667,15.183333333,8.6666666667,14.3,1.0333333333,24,24,22.966666667,21
556,1,28/04/2022,1,UK344097108480,19/05/2022,UK344097108480,11.15,12.85,10.466666667,13.533333333,5.6166666667,16.016666667,2.3666666667,24,24,21.633333333,21
561,1,30/06/2022,1,UK344097108340,21/07/2022,UK344097108340,10.466666667,13.533333333,14.95,9.05,4.0833333333,19.716666667,0.2,24,24,23.8,21
570,1,27/05/2022,1,UK344097508302,17/06/2022,UK344097508302,15.833333333,8.1666666667,11.266666667,12.733333333,7.9166666667,15.833333333,0.25,24,24,23.75,21
575,1,10/06/2022,1,UK344097108361,01/07/2022,UK344097108361,11.233333333,12.766666667,12.05,11.95,4.0666666667,19.65,0.2833333333,24,24,23.716666667,21
580,1,30/04/2022,1,UK344097508267,21/05/2022,UK344097508267,13.283333333,10.716666667,10.15,13.85,6.4666666667,16.666666667,0.8666666667,24,24,23.133333333,21
590,2,16/06/2022,1,UK344097707296,07/07/2022,UK344097707296,11.933333333,12.066666667,8.8833333333,15.116666667,5.7833333333,16.9,1.3166666667,24,24,22.683333333,21
593,3,23/06/2022,1,UK344097406985,14/07/2022,UK344097406985,9.7166666667,14.283333333,10.1,13.9,4.4166666667,18.65,0.9333333333,24,24,23.066666667,21
610,1,05/06/2022,1,UK344097707912,26/06/2022,UK344097707912,9.1,14.9,13.9,10.1,5.0333333333,15.6,3.3666666667,24,24,20.633333333,21
613,4,02/06/2022,1,UK344097406047,23/06/2022,UK344097406047,11.566666667,12.433333333,9.35,14.65,8.2333333333,15.566666667,0.2,24,24,23.8,21
652,4,11/05/2022,1,UK344097406040,01/06/2022,UK344097406040,11.633333333,12.366666667,9.85,14.15,7.7666666667,15.533333333,0.7,24,24,23.3,21
654,5,30/06/2022,1,DE001265359399,21/07/2022,DE001265359399,21.55,2.45,0.5333333333,23.466666667,20.6,3.3166666667,0.0833333333,24,24,23.916666667,21
690,3,09/06/2022,1,UK344097106436,30/06/2022,UK344097106436,16.366666667,7.6333333333,10.666666667,13.333333333,8.8333333333,14.766666667,0.4,24,24,23.6,21
