cowID,expday,exp_date,calving_date,est_calving_date,milksampling_date,my,faty,cpy,fatp,cpp,scc,sampling_date,milk_bhb,milk_cort,milk_crp,milk_hap,milk_sp,diagnosis_date,cm,da,v_temp,bcs,dys,lameness,ms_date,metriscore,pvd,animal,lie,stand,ruminate,inactive,active,highActive
61,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,UK263497704772 72,180,0,0,180,0,0
72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,IE241639972078 78,306,354,323,148,512,0
78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,UK263497605086 86,381,219,315,167,354,79
86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
